62,"The Valley                         ",AIA,"窶・                ",595
1930,"Xuzhou                             ",CHN,"Jiangsu             ",810000
1931,"Datong                             ",CHN,"Shanxi              ",800000
1932,"Yichun                             ",CHN,"Heilongjiang        ",800000
1933,"Benxi                              ",CHN,"Liaoning            ",770000
1934,"Luoyang                            ",CHN,"Henan               ",760000
1935,"Suzhou                             ",CHN,"Jiangsu             ",710000
1936,"Xining                             ",CHN,"Qinghai             ",700200
1937,"Huainan                            ",CHN,"Anhui               ",700000
1938,"Jixi                               ",CHN,"Heilongjiang        ",683885
1939,"Daqing                             ",CHN,"Heilongjiang        ",660000
1940,"Fuxin                              ",CHN,"Liaoning            ",640000
1941,"Amoy [Xiamen]                      ",CHN,"Fujian              ",627500
1942,"Liuzhou                            ",CHN,"Guangxi             ",610000
1943,"Shantou                            ",CHN,"Guangdong           ",580000
1944,"Jinzhou                            ",CHN,"Liaoning            ",570000
1945,"Mudanjiang                         ",CHN,"Heilongjiang        ",570000
1946,"Yinchuan                           ",CHN,"Ningxia             ",544500
1947,"Changzhou                          ",CHN,"Jiangsu             ",530000
1948,"Zhangjiakou                        ",CHN,"Hebei               ",530000
1949,"Dandong                            ",CHN,"Liaoning            ",520000
1950,"Hegang                             ",CHN,"Heilongjiang        ",520000
1951,"Kaifeng                            ",CHN,"Henan               ",510000
1952,"Jiamusi                            ",CHN,"Heilongjiang        ",493409
1953,"Liaoyang                           ",CHN,"Liaoning            ",492559
1954,"Hengyang                           ",CHN,"Hunan               ",487148
1955,"Baoding                            ",CHN,"Hebei               ",483155
1956,"Hunjiang                           ",CHN,"Jilin               ",482043
1957,"Xinxiang                           ",CHN,"Henan               ",473762
1958,"Huangshi                           ",CHN,"Hubei               ",457601
1959,"Haikou                             ",CHN,"Hainan              ",454300
1960,"Yantai                             ",CHN,"Shandong            ",452127
1961,"Bengbu                             ",CHN,"Anhui               ",449245
1962,"Xiangtan                           ",CHN,"Hunan               ",441968
1963,"Weifang                            ",CHN,"Shandong            ",428522
1964,"Wuhu                               ",CHN,"Anhui               ",425740
1965,"Pingxiang                          ",CHN,"Jiangxi             ",425579
1966,"Yingkou                            ",CHN,"Liaoning            ",421589
1967,"Anyang                             ",CHN,"Henan               ",420332
1968,"Panzhihua                          ",CHN,"Sichuan             ",415466
1969,"Pingdingshan                       ",CHN,"Henan               ",410775
1970,"Xiangfan                           ",CHN,"Hubei               ",410407
1971,"Zhuzhou                            ",CHN,"Hunan               ",409924
1972,"Jiaozuo                            ",CHN,"Henan               ",409100
1973,"Wenzhou                            ",CHN,"Zhejiang            ",401871
1974,"Zhangjiang                         ",CHN,"Guangdong           ",400997
1975,"Zigong                             ",CHN,"Sichuan             ",393184
1976,"Shuangyashan                       ",CHN,"Heilongjiang        ",386081
1977,"Zaozhuang                          ",CHN,"Shandong            ",380846
1978,"Yakeshi                            ",CHN,"Inner Mongolia      ",377869
1979,"Yichang                            ",CHN,"Hubei               ",371601
1980,"Zhenjiang                          ",CHN,"Jiangsu             ",368316
1981,"Huaibei                            ",CHN,"Anhui               ",366549
1982,"Qinhuangdao                        ",CHN,"Hebei               ",364972
1983,"Guilin                             ",CHN,"Guangxi             ",364130
1984,"Liupanshui                         ",CHN,"Guizhou             ",363954
1985,"Panjin                             ",CHN,"Liaoning            ",362773
1986,"Yangquan                           ",CHN,"Shanxi              ",362268
1987,"Jinxi                              ",CHN,"Liaoning            ",357052
1988,"Liaoyuan                           ",CHN,"Jilin               ",354141
1989,"Lianyungang                        ",CHN,"Jiangsu             ",354139
1990,"Xianyang                           ",CHN,"Shaanxi             ",352125
1991,"Taiﾂｴan                            ",CHN,"Shandong            ",350696
1992,"Chifeng                            ",CHN,"Inner Mongolia      ",350077
1993,"Shaoguan                           ",CHN,"Guangdong           ",350043
1994,"Nantong                            ",CHN,"Jiangsu             ",343341
1995,"Leshan                             ",CHN,"Sichuan             ",341128
1996,"Baoji                              ",CHN,"Shaanxi             ",337765
1997,"Linyi                              ",CHN,"Shandong            ",324720
1998,"Tonghua                            ",CHN,"Jilin               ",324600
1999,"Siping                             ",CHN,"Jilin               ",317223
2000,"Changzhi                           ",CHN,"Shanxi              ",317144
3539,"Caracas                            ",VEN,"Distrito Federal    ",1975294
4001,"Gilbert                            ",USA,"Arizona             ",109697
4002,"Carrollton                         ",USA,"Texas               ",109576
4003,"Bellevue                           ",USA,"Washington          ",109569
4004,"West Valley City                   ",USA,"Utah                ",108896
4005,"Clarksville                        ",USA,"Tennessee           ",108787
4006,"Costa Mesa                         ",USA,"California          ",108724
4007,"Peoria                             ",USA,"Arizona             ",108364
4008,"South Bend                         ",USA,"Indiana             ",107789
4009,"Downey                             ",USA,"California          ",107323
4010,"Waterbury                          ",USA,"Connecticut         ",107271
4011,"Manchester                         ",USA,"New Hampshire       ",107006
4012,"Allentown                          ",USA,"Pennsylvania        ",106632
4013,"McAllen                            ",USA,"Texas               ",106414
4014,"Joliet                             ",USA,"Illinois            ",106221
4015,"Lowell                             ",USA,"Massachusetts       ",105167
4016,"Provo                              ",USA,"Utah                ",105166
4017,"West Covina                        ",USA,"California          ",105080
4018,"Wichita Falls                      ",USA,"Texas               ",104197
4019,"Erie                               ",USA,"Pennsylvania        ",103717
4020,"Daly City                          ",USA,"California          ",103621
4021,"Citrus Heights                     ",USA,"California          ",103455
4022,"Norwalk                            ",USA,"California          ",103298
4023,"Gary                               ",USA,"Indiana             ",102746
4024,"Berkeley                           ",USA,"California          ",102743
4025,"Santa Clara                        ",USA,"California          ",102361
4026,"Green Bay                          ",USA,"Wisconsin           ",102313
4027,"Cape Coral                         ",USA,"Florida             ",102286
4028,"Arvada                             ",USA,"Colorado            ",102153
4029,"Pueblo                             ",USA,"Colorado            ",102121
4030,"Sandy                              ",USA,"Utah                ",101853
4031,"Athens-Clarke County               ",USA,"Georgia             ",101489
4032,"Cambridge                          ",USA,"Massachusetts       ",101355
4033,"Westminster                        ",USA,"Colorado            ",100940
4034,"San Buenaventura                   ",USA,"California          ",100916
4035,"Portsmouth                         ",USA,"Virginia            ",100565
4036,"Livonia                            ",USA,"Michigan            ",100545
4037,"Burbank                            ",USA,"California          ",100316
4038,"Clearwater                         ",USA,"Florida             ",99936
4039,"Midland                            ",USA,"Texas               ",98293
4040,"Davenport                          ",USA,"Iowa                ",98256
4041,"Mission Viejo                      ",USA,"California          ",98049
4042,"Miami Beach                        ",USA,"Florida             ",97855
4043,"Sunrise Manor                      ",USA,"Nevada              ",95362
4044,"New Bedford                        ",USA,"Massachusetts       ",94780
4045,"El Cajon                           ",USA,"California          ",94578
4046,"Norman                             ",USA,"Oklahoma            ",94193
4047,"Richmond                           ",USA,"California          ",94100
4048,"Albany                             ",USA,"New York            ",93994
4049,"Brockton                           ",USA,"Massachusetts       ",93653
4050,"Roanoke                            ",USA,"Virginia            ",93357
4051,"Billings                           ",USA,"Montana             ",92988
4052,"Compton                            ",USA,"California          ",92864
4053,"Gainesville                        ",USA,"Florida             ",92291
4054,"Fairfield                          ",USA,"California          ",92256
4055,"Arden-Arcade                       ",USA,"California          ",92040
4056,"San Mateo                          ",USA,"California          ",91799
4057,"Visalia                            ",USA,"California          ",91762
4058,"Boulder                            ",USA,"Colorado            ",91238
4059,"Cary                               ",USA,"North Carolina      ",91213
4060,"Santa Monica                       ",USA,"California          ",91084
4061,"Fall River                         ",USA,"Massachusetts       ",90555
4062,"Kenosha                            ",USA,"Wisconsin           ",89447
4063,"Elgin                              ",USA,"Illinois            ",89408
4064,"Odessa                             ",USA,"Texas               ",89293
4065,"Carson                             ",USA,"California          ",89089
4066,"Charleston                         ",USA,"South Carolina      ",89063
4067,"Charlotte Amalie                   ",VIR,"St Thomas           ",13000
4068,"Harare                             ",ZWE,"Harare              ",1410000
4069,"Bulawayo                           ",ZWE,"Bulawayo            ",621742
4070,"Chitungwiza                        ",ZWE,"Harare              ",274912
4071,"Mount Darwin                       ",ZWE,"Harare              ",164362
4072,"Mutare                             ",ZWE,"Manicaland          ",131367
4073,"Gweru                              ",ZWE,"Midlands            ",128037
4074,"Gaza                               ",PSE,"Gaza                ",353632
4075,"Khan Yunis                         ",PSE,"Khan Yunis          ",123175
4076,"Hebron                             ",PSE,"Hebron              ",119401
4077,"Jabaliya                           ",PSE,"North Gaza          ",113901
4078,"Nablus                             ",PSE,"Nablus              ",100231
4079,"Rafah                              ",PSE,"Rafah               ",92020
